open_time,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ret,rolling_ret,rolling_vol,signal_strength,atr,position,flag
2023-01-01,16541.77,16628.0,16499.01,16616.75,96925.41374,1604793789.6772127,3218355,48548.78168,803841673.8350587,0.0,0.0,1e-06,0.0,,0.0,0.0
2023-01-02,16617.17,16799.23,16548.7,16672.87,121888.57191,2034683215.2678783,4036118,60925.25948,1017074780.6918063,0.003377315058600505,0.0,1e-06,0.0,,0.0,0.0
2023-01-03,16672.78,16778.4,16605.28,16675.18,159541.53733,2662765916.3256683,5097596,79595.76246,1328471402.7136745,0.0001385484322735664,0.0,1e-06,0.0,,0.0,0.0
2023-01-04,16675.65,16991.87,16652.66,16850.36,220362.18862,3709833209.845365,6310703,109747.11502,1847617011.385377,0.01050543382440261,0.0,1e-06,0.0,,0.0,0.0
2023-01-05,16850.36,16879.82,16753.0,16831.85,163473.56641,2751080253.8177333,4842014,80959.57162,1362471754.0532992,-0.0010984928511914571,0.0,1e-06,0.0,,0.0,0.0
2023-01-06,16831.85,17041.0,16679.0,16950.65,207401.28415,3490305009.6881223,5388661,103320.22965,1738828235.2023005,0.007058047689350921,0.0,1e-06,0.0,,0.0,0.0
2023-01-07,16950.31,16981.91,16908.0,16943.57,104526.5688,1770201710.2089734,3227161,51624.83107,874295207.6365124,-0.00041768309769840695,0.0,1e-06,0.0,,0.0,0.0
2023-01-08,16943.83,17176.99,16911.0,17127.83,135155.89695,2291925699.9585457,4036092,67200.6025,1139647002.7608514,0.010874921873017529,0.0,1e-06,0.0,,0.0,0.0
2023-01-09,17127.83,17398.8,17104.66,17178.26,266211.52723,4590284350.546169,6327667,131748.52517,2271681164.7993326,0.0029443309514396443,0.0,1e-06,0.0,,0.0,0.0
2023-01-10,17179.04,17499.0,17146.34,17440.66,221382.42581,3829247653.7311053,5448751,109377.45606,1891995855.287608,0.015275120995956515,0.0,0.005739661812278101,0.0,,0.0,0.0
2023-01-11,17440.64,18000.0,17315.6,17943.26,262221.60653,4586965947.26355,5627464,129944.5693,2273368097.029264,0.02881771676071887,0.07982968992131423,0.009210310171332356,8.667426876652748,,1.0,1.0
2023-01-12,17943.26,19117.04,17892.05,18846.62,454568.32178,8348431207.846009,8911373,227295.33172,4174813798.3828607,0.05034536644957499,0.13037647387642326,0.016118815115775693,8.088465122279498,,0.0,-1.0
2023-01-13,18846.62,20000.0,18714.12,19930.01,368615.87823,7061633461.444734,8021774,183448.89377,3515300890.3050575,0.05748457813655716,0.19519009689850408,0.02078108290428794,9.39268169024189,,1.0,1.0
2023-01-14,19930.01,21258.0,19888.05,20954.92,393913.74951,8183071567.046188,8659545,197817.55209,4109568162.1704197,0.0514254634092004,0.24358886100949761,0.023011313364353133,10.585613135269435,,0.0,-1.0
2023-01-15,20952.76,21050.74,20551.01,20871.5,178542.22549,3710526606.138964,5194354,88310.83908,1835436631.7038705,-0.003980926674976515,0.2400003564670552,0.023352097543950855,10.277464626693677,521.6664285714293,1.0,1.0
2023-01-16,20872.99,21474.05,20611.48,21185.65,293078.08262,6168654053.042638,6856434,145352.66942,3059597458.3853526,0.0150516254222266,0.24984292637745442,0.02291721589296014,10.90197550803729,546.01668367347,1.0,0.0
2023-01-17,21185.65,21647.45,20841.31,21134.81,275407.74409,5840585769.490093,6440138,137121.64311,2908227174.2490306,-0.0023997375582056613,0.24736463448966206,0.023147572512598302,10.686417953979033,564.5969205539363,1.0,0.0
2023-01-18,21132.29,21650.0,20407.15,20677.47,350916.01949,7399719195.246726,7617173,173174.4169,3652037808.316215,-0.02163918199406567,0.20724399996964005,0.026946761551939275,7.690868513835397,613.0435690857979,1.0,0.0
2023-01-19,20677.47,21192.0,20659.19,21071.59,251385.84925,5243024330.011201,5819932,124924.23436,2605629874.089028,0.019060358931726196,0.2266428613840985,0.026332664631839045,8.606909500152245,607.312599865384,1.0,0.0
2023-01-20,21071.59,22755.93,20861.28,22667.21,338079.13659,7256172889.710533,7382435,170200.04869,3654038898.2709284,0.07572375886205074,0.2996761590444399,0.03134744435509576,9.559827450358814,699.2652713035708,0.0,-1.0
2023-01-21,22666.0,23371.8,22422.0,22783.55,346445.48432,7938935168.532014,7796520,172663.17131,3956916674.402963,0.0051325240292035,0.26975532874182284,0.03208013971244174,8.408795321960609,717.1606090676014,1.0,1.0
2023-01-22,22783.35,23078.71,22292.37,22707.88,253577.75286,5775552321.544121,6603827,125842.91663,2866409820.7225704,-0.003321255906125198,0.20487811607598605,0.03178603474083447,6.4455386696216594,722.1019941342013,1.0,0.0
2023-01-23,22706.02,23180.0,22500.0,22916.45,293588.37938,6704191295.97568,7258655,145854.70936,3330927704.48361,0.009184917306239049,0.1498463874328213,0.02886686808131745,5.1909471789841115,719.0947088389012,1.0,0.0
2023-01-24,22917.81,23162.2,22462.93,22632.89,293158.78254,6721432962.573841,7395584,144239.84356,3307407342.13858,-0.012373644259909389,0.08007522815644252,0.026753205768722466,2.9931077736507956,717.678658207551,1.0,0.0
2023-01-25,22631.94,23816.73,22300.0,23060.94,346042.83223,7875590359.115837,8060446,172647.90115,3929821773.9651175,0.01891274158978362,0.10490094147521734,0.02658891163819874,3.9452890326098293,774.7537540498688,1.0,0.0
