datetime,symbol,close,money,open_interest,open_interest_money,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126
2025-01-23,B_QG8888,1328.74,39507287525.0,1186737,42247338078.31,,,,Normal,1332.3139999999999,-0.0009774142131063757,0.0691133948206513,-0.5009053058457464,,,0.3333333333333333,0.5454545454545454,0.7058823529411765,0.7058823529411765
2025-01-24,B_QG8888,1332.12,36940612310.0,1141364,40911911261.14,,,,Normal,1328.952,0.002543763264445831,0.7636705627148043,-0.29162515446834364,,,0.8333333333333334,0.7272727272727273,0.8333333333333334,0.8333333333333334
2025-01-27,B_QG8888,1315.64,32618519260.0,1085405,38388138815.64,,,,Normal,1326.0939999999998,-0.01237125784463844,-1.7088577541319627,-1.3052507766135804,,,0.16666666666666666,0.2727272727272727,0.5789473684210527,0.5789473684210527
2025-02-05,B_QG8888,1304.12,30182585215.0,1198281,41654227455.53,,,,Normal,1322.132,-0.008756194703718467,-0.8819898791956176,-0.7962621424196588,,,0.16666666666666666,0.09090909090909091,0.45,0.45
2025-02-06,B_QG8888,1309.41,29714978680.0,1273356,44638903570.97,,,,Normal,1318.006,0.004056375180198302,1.1163710155406434,0.3712818890716822,,,0.3333333333333333,0.18181818181818182,0.5238095238095238,0.5238095238095238
2025-02-07,B_QG8888,1312.32,38779380200.0,1306509,45721607012.19,,,,Normal,1314.7220000000002,0.0022223749627694467,0.6946124869602031,0.5856063345648596,,,0.5,0.2727272727272727,0.5909090909090909,0.5909090909090909
2025-02-10,B_QG8888,1313.07,44544839545.0,1372562,47850609814.13,,,,Normal,1310.9119999999998,0.0005715069495244585,0.5279464011535882,0.4955607178660776,,,0.6666666666666666,0.36363636363636365,0.6086956521739131,0.6086956521739131
2025-02-11,B_QG8888,1297.97,34427769090.0,1455003,49507252833.2,,,,Normal,1307.3780000000002,-0.011499767719923448,-1.4132241512481922,-1.4849367891858625,-1.0342907025644086,,0.16666666666666666,0.09090909090909091,0.34782608695652173,0.375
2025-02-12,B_QG8888,1291.94,36520197075.0,1510523,50811295895.28,,,,Normal,1304.942,-0.004645716002681044,-0.49530839366303975,-0.36267410070418915,-0.4268765535255371,,0.16666666666666666,0.09090909090909091,0.30434782608695654,0.36
2025-02-13,B_QG8888,1255.57,53644559010.0,1648068,52740907443.4,,,,Normal,1294.1739999999998,-0.028151462142204875,-1.8015034633811484,-2.392967909721441,-2.0697978261287404,,0.16666666666666666,0.09090909090909091,0.13043478260869565,0.11538461538461539
2025-02-14,B_QG8888,1248.5,47781112510.0,1670269,52940320783.9,,,,Normal,1281.4099999999999,-0.005630908670962165,0.42783671140865287,0.05785782476983762,-0.36343930275604336,,0.16666666666666666,0.09090909090909091,0.043478260869565216,0.037037037037037035
2025-02-17,B_QG8888,1256.76,49488702835.0,1712599,54340458380.74,,,,Normal,1270.148,0.006615939126952242,1.3434893913862034,1.275284752831045,0.5056619939276517,,0.5,0.2727272727272727,0.21739130434782608,0.21428571428571427
2025-02-18,B_QG8888,1261.81,36857738540.0,1721500,54778369117.45,,,,Normal,1262.916,0.0040182692001655695,0.7813314679172035,0.8277610051327526,0.30048621569729717,,0.6666666666666666,0.36363636363636365,0.21739130434782608,0.2413793103448276
