datetime,symbol,close,money,open_interest,open_interest_money,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126
2025-01-02,B_HG8888,2697.7,264148071405.0,8382567,324494190794.61,,,,Normal,,,,,,,0.5,0.5,0.5,0.5
2025-01-03,B_HG8888,2635.94,423729012310.0,8443655,320854715746.42,,,,Normal,,-0.02289357600919295,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-01-06,B_HG8888,2651.17,411338588850.0,8490664,323935794010.73,,,,Normal,,0.00577782498842927,,,,,0.5,0.5,0.5,0.5
2025-01-07,B_HG8888,2639.33,398176635590.0,8611035,328676473561.96,,,,Normal,,-0.004465952768023196,,,,,0.4,0.4,0.4,0.4
2025-01-08,B_HG8888,2630.84,335141329995.0,8727890,329900112919.35,,,,Normal,2650.996,-0.0032167254568393755,,,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2025-01-09,B_HG8888,2658.91,447586187310.0,8735226,335795435727.56,,,,Normal,2643.238,0.010669596022563121,1.1731048159002821,,,,0.8333333333333334,0.7142857142857143,0.7142857142857143,0.7142857142857143
2025-01-10,B_HG8888,2694.8,428197379780.0,8801502,343310836391.68,,,,Normal,2655.01,0.013498012343404087,1.2529688718375467,,,,0.8333333333333334,0.75,0.75,0.75
2025-01-13,B_HG8888,2727.61,472763048015.0,8765606,347279421809.44,,,,Normal,2670.2980000000002,0.012175300578892712,0.8179184337619696,,,,0.8333333333333334,0.8888888888888888,0.8888888888888888,0.8888888888888888
2025-01-14,B_HG8888,2742.48,391242396895.0,8725589,347943969417.57,,,,Normal,2690.9280000000003,0.005451659144819043,-0.3704935283016056,,,,0.8333333333333334,0.9,0.9,0.9
2025-01-15,B_HG8888,2778.28,384777556545.0,8799071,357599563322.26,,,,Normal,2720.416,0.013053878241591654,0.7129571254824131,,,,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.9090909090909091
2025-01-16,B_HG8888,2818.72,553455256250.0,8656799,357597192943.8,,,,Normal,2752.378,0.014555768317088047,0.8670106631378356,0.9047188212598628,,,0.8333333333333334,0.9090909090909091,0.9166666666666666,0.9166666666666666
2025-01-17,B_HG8888,2808.07,500496933765.0,8435866,348346570051.39,,,,Normal,2775.032,-0.0037783107225973778,-1.776724570169571,-1.3966629883073327,,,0.6666666666666666,0.8181818181818182,0.8461538461538461,0.8461538461538461
2025-01-20,B_HG8888,2763.45,507366653645.0,8262876,337001101733.12,,,,Normal,2782.2,-0.01588991727414213,-1.637555299267975,-2.033583740926848,,,0.3333333333333333,0.6363636363636364,0.7142857142857143,0.7142857142857143
