datetime,symbol,close,money,open_interest,open_interest_money,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126
2025-01-02,B_HY8888,1960.23,5818587220.0,83789,7588422005.65,,,,Normal,,,,,,,0.5,0.5,0.5,0.5
2025-01-03,B_HY8888,1822.28,7468489400.0,84903,7148170356.6,,,,Normal,,-0.07037439484142172,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-01-06,B_HY8888,1755.87,4946176000.0,84963,6892542660.15,,,,Normal,,-0.03644335667405674,,,,,0.25,0.25,0.25,0.25
2025-01-07,B_HY8888,1749.62,4211232205.0,85464,6908478166.8,,,,Normal,,-0.003559489028231,,,,,0.2,0.2,0.2,0.2
2025-01-08,B_HY8888,1679.32,4305131175.0,87734,6807044178.2,,,,Normal,1793.464,-0.04018015340473924,,,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2025-01-09,B_HY8888,1729.88,6053529120.0,86748,6933186428.4,,,,Normal,1747.3940000000002,0.030107424433699403,1.576064978469036,,,,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.2857142857142857
2025-01-10,B_HY8888,1672.69,4117408330.0,83793,6475606833.0,,,,Normal,1717.4759999999999,-0.033060096654103255,-0.6147856799216092,,,,0.16666666666666666,0.125,0.125,0.125
2025-01-13,B_HY8888,1649.5,4329468080.0,87120,6639384708.0,,,,Normal,1696.202,-0.01386389588028869,-0.07055531488046392,,,,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.1111111111111111
2025-01-14,B_HY8888,1574.85,5660679415.0,91294,6642606216.4,,,,Normal,1661.248,-0.04525613822370422,-0.904197120710351,,,,0.16666666666666666,0.1,0.1,0.1
2025-01-15,B_HY8888,1501.46,4117040640.0,92270,6400732992.0,,,,Normal,1625.676,-0.04660126361240746,-0.873780811711884,,,,0.16666666666666666,0.09090909090909091,0.09090909090909091,0.09090909090909091
2025-01-16,B_HY8888,1440.06,6193274215.0,97278,6472206901.8,,,,Normal,1567.712,-0.04089353029717746,-0.41302900848439655,-0.4117353820244656,,,0.16666666666666666,0.09090909090909091,0.08333333333333333,0.08333333333333333
2025-01-17,B_HY8888,1396.39,5600333685.0,94601,6103221355.4,,,,Normal,1512.4519999999998,-0.030325125341999493,0.41550627814386853,-0.18943559968588583,,,0.16666666666666666,0.09090909090909091,0.07692307692307693,0.07692307692307693
2025-01-20,B_HY8888,1377.64,4034840270.0,96520,6143406306.0,,,,Normal,1458.0800000000002,-0.013427480861363916,1.7726523333350153,0.4511321810618541,,,0.16666666666666666,0.09090909090909091,0.07142857142857142,0.07142857142857142
