datetime,symbol,close,money,open_interest,open_interest_money,close_MACD,close_MACD_Signal,close_MACD_Hist,close_MACD_Hist_status,close_MA_5,close_change_rate,close_change_rate_r_zscore_5,close_change_rate_r_zscore_10,close_change_rate_r_zscore_22,close_change_rate_r_zscore_126,close_r_percentile_5,close_r_percentile_10,close_r_percentile_22,close_r_percentile_126
2025-01-02,B_HSJS8888,1776.17,119481649920.0,5136718,211948016279.0,,,,Normal,,,,,,,0.5,0.5,0.5,0.5
2025-01-03,B_HSJS8888,1749.1,145542733790.0,5346747,216397774357.34,,,,Normal,,-0.015240658270323282,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-01-06,B_HSJS8888,1737.42,142205335590.0,5484156,221002189506.01,,,,Normal,,-0.006677719970270335,,,,,0.25,0.25,0.25,0.25
2025-01-07,B_HSJS8888,1724.83,119792461720.0,5615996,225184190040.86,,,,Normal,,-0.007246376811594235,,,,,0.2,0.2,0.2,0.2
2025-01-08,B_HSJS8888,1710.2,114703423650.0,5740159,229180444576.76,,,,Normal,1739.5439999999999,-0.008481995327075609,,,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2025-01-09,B_HSJS8888,1712.87,128611554420.0,5755450,230633890736.45,,,,Normal,1726.884,0.001561220909835015,1.6395738923342742,,,,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.2857142857142857
2025-01-10,B_HSJS8888,1717.72,112202396310.0,5757105,231327571361.2,,,,Normal,1720.6079999999997,0.002831505017893976,1.343930559480924,,,,0.5,0.375,0.375,0.375
2025-01-13,B_HSJS8888,1747.22,151012172620.0,5663587,231753911513.9,,,,Normal,1722.568,0.017173928230445057,1.740149863053133,,,,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666
2025-01-14,B_HSJS8888,1771.63,138893825100.0,5687519,235835212124.88,,,,Normal,1731.9279999999999,0.013970764986664497,0.9272002526303333,,,,0.8333333333333334,0.8,0.8,0.8
2025-01-15,B_HSJS8888,1786.03,118230887540.0,5742813,238803412635.49,,,,Normal,1747.0939999999998,0.00812810801352426,-0.0993773588117781,,,,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.9090909090909091
